Questions,Intent
How do I apply filters?,Learn
How do I create filter?,Learn
"What is the difference between the rows, which one should I choose?",information_Comparison
How much would it cost to order SIM?,information_seek
What is IMEI? What does it mean?,information_seek
Can I select disabled rows as well?,Learn
Does sorting have impact on whole inventory?,information_seek
I can't see column,Troubleshoot
How do I hide custom counters?,Learn
How do I personalize my view?,Learn
What are counters?,information_seek
What is a padlock?,information_seek
Euicc order.,information_seek
How can I add/apply/create filters?,Learn
Why is NW connectivity enabled? Why?,Troubleshoot
What is summary counter?,information_seek
I want to add/apply/create a filter,Learn
What do you mean by table?,information_seek
What is the reason behind error messages?,Troubleshoot
How can I know which subscriptions have had traffic today?,Learn
How can I add/create a filter?,Learn
What is the comparison between imei and msisdn?,information_Comparison
How can I add filters?,Learn
How can I make the colums that are relevant for me visible? lists,Learn
How do I know which subscriptions have had traffic today?,Learn
What can I do with this page?,information_seek
How do I use summary counters?,Learn
Why are there error messages?,Troubleshoot
How do you add filters?,Learn
Tell me about filters.,information_seek
What is IMSI,information_seek
What is the euicc order?,information_seek
Tell me about filters,information_seek
How do I differentiate between summary counters and column filters?,information_Comparison
What is the meaning of network connectivity?,information_seek
Why is there a lock/padlock in Connectivity lock column?,information_seek
How can I get traffic generated last 30 days?,fetch
How can I generate invoices?,fetch
How is network connectivity disabled?,information_seek
How do I fetch subscription created in last 30 days?,fetch
Why is NW connectivity disabled?,Troubleshoot
How can I add a filter?,Learn
How can I use summary counter?,Learn
Can I find subscriptions based on my notes?,Learn
How can I select the columns to display?,Learn
How do you order sim?,Learn
Bring me location with the largest traffic.,fetch
How can I change the owner of the subscriptions?,Learn
How can I save my view?,Learn
I want to add/apply/create a filter.,Learn
Can I share my filterings?,information_seek
How can I change the order of the columns? lists,Learn
What do summary counters stand for?,information_seek
Can I export the data from the table as I customized it to Excel?,information_seek
Why is the portal so slow?,Troubleshoot
What is the best location with the most traffic?,fetch
How do I customize my view?,Learn
How can I change my plan name?,Learn
Can I see more rows in one view?,Learn
Can I see more rows in a view?,Learn
Can I see the any real-time data?,information_seek
What is the difference between billing and network states?,information_Comparison
What does in session mean?,information_seek
Euicc order?,information_seek
How much does it cost to order a SIM card?,information_seek
What should I know about counters?,information_seek
What does network connectivity mean?,information_seek
Can I save my view?,Learn
How do I add/apply/create filters?,Learn
Why should I choose more than 1 row?,information_seek
Is there a lock/padlock in Connectivity Lock column?,information_seek
How do I add/apply filters?,Learn
How can I fetch my subscription created in last 30 days?,fetch
How do I get traffic generated last 30 days?,fetch
What is the difference between network connectivity and billing states?,information_Comparison
Is network connectivity enabled or disabled?,information_Comparison
Why is network connectivity enabled?,information_seek
Could you show me the report?,fetch
How can I select which columns to display?,Learn
I want to add/apply/create filter?,Learn
how to select more than 10000 imsi,Learn
How can I save my settings?,Learn
How does one generate invoices?,fetch
state change where??,Learn
How can I select which columns to display?,Learn
Tell me about each action and why?,information_seek
How can I save my views?,Learn
What is a lock padlock?,information_seek
I can't see view,Troubleshoot
Does search crieteria apply to all pages?,information_seek
How can I change the state?,Learn
How do you select more than 10000 imsi?,Learn
How do you generate invoices?,fetch
Who can see my notes?,information_seek
What is network connectivity?,information_seek
I can't see counters,Troubleshoot
What can I do in this page?,information_seek
How do I hide the custom counters?,Learn
I can't see network in-session,Troubleshoot
Can you tell me about filters?,information_seek
How can I get more than 10000 imsi?,Learn
How can I see which subscriptions have had traffic today?,Learn
I can't see euicc,Troubleshoot
How can I edit IMEI?,Learn
What is network connectivity disabled?,information_seek
Why is NW connectivity enabled?,Troubleshoot
What are the differences between summary counters and column filters?,information_Comparison
What are SIMs?,information_seek
What are error messages?,Troubleshoot
What's the difference between network and billing states?,information_Comparison
How do I customize my views?,Learn
What is the meaning of announcements?,information_seek
What is MSISDN? What does it mean?,information_seek
What is filter?,information_seek
What are summary counters?,information_seek
What are the different kinds of SIMs?,information_seek
How do I select 10000 imsi?,Learn
Tell me about every action.,information_seek
How do I add/apply filters?,Learn
How can I fetch the subscription created in last 30 days?,fetch
Show me the subscription with largest traffic.,fetch
What are filters?,information_seek
I want to add/apply/create filters?,Learn
What does network connectivity mean?,information_seek
What are the differences between sim and euicc?,information_Comparison
How do I create filters?,Learn
How do I add filters?,Learn
How do I choose which columns to display?,Learn
What are subscription notes?,information_seek
What are different types of SIMs?,information_seek
logout,Learn
Tell me about each action,information_seek
How can I import my own batch file from the laptop?,Learn
How do I define summary counters?,Learn
What is network connectivity disabled?,information_seek
Why is NW connectivity disabled and vice versa?,Troubleshoot
How can I create a business automation rule?,Learn
Show me the subscription with the largest traffic.,fetch
Why did I see a lock?,information_seek
Tell me about table,information_seek
What is the report?,fetch
What is table?,information_seek
What IMSI stands for?,information_seek
Can I see rows in one view?,Learn
What is in session?,information_seek
What is filtering?,information_seek
Is it possible to select disabled rows?,Learn
How do I select the columns I want to display?,Learn
How do I select more than 10000 imsi?,Learn
How can I hide the columns I dont need? lists,Learn
How to change the region of my subscrtiptions?,Learn
How often will the table refresh?,information_seek
What does batch mean?,information_seek
Can I save my settings?,Learn
How do I create custom fields?,Learn
How can I change the Plan name?,Learn
Why should I select more than 1 row?,information_seek
How can I see what subscriptions have had traffic today?,Learn
How can I define custom fields?,Learn
Why portal slow,Troubleshoot
Why do error messages show up?,Troubleshoot
What do you mean by counters?,information_seek
What are some billing states?,fetch
What does lock mean?,information_seek
What is sim?,information_seek
I see a lock why?,information_seek
How can I search with batch?,Learn
How do I define summary counter?,Learn
