,Questions,Intent,Sub-Entities,Main_Entities
0,What does lock mean?,information_seek,['connectivity lock'],['connection']
1,What does network connectivity mean?,information_seek,['network connectivity'],['connection']
2,What is network connectivity enabled?,information_seek,['network connectivity'],['connection']
3,What is network connectivity disabled?,information_seek,['network connectivity'],['connection']
4,What does in-session mean?,information_seek,['in-session'],['option']
5,What is billing state xx?,information_seek,['billing state'],['option']
6,What is the difference between network connectivity and billing states?,information_Comparison,"['network connectivity', 'billing state']","['connection', 'option']"
7,How can I customize my view?,Learn,['view'],['attribute']
8,Can I customize my view?,Learn,['view'],['attribute']
9,Can I hide the custom counters?,Learn,['counters'],['widget.']
10,How can I select which columns to display?,Learn,"['column', 'view']","['attribute', 'attribute']"
11,Can I somehow see more rows in one view?,Learn,"['row', 'view']","['attribute', 'attribute']"
12,How can I see which subscriptions have had traffic today?,Learn,"['subscription', 'monthlydata']","['inventory', 'stat']"
13,How can I see if a subscription is misbehaving?,Learn,['subscription'],['inventory']
14,What are custom fields?,information_seek,['custom fields'],['widget']
15,How can I define custom fields?,Learn,['custom fields'],['widget']
16,How can I use custom fields?,Learn,['custom fields'],['widget']
17,What are summary counters?,information_seek,['summary counter'],['widget']
18,How can I define summary counters?,Learn,['summary counter'],['widget']
19,How can I use summary counters?,Learn,['summary counter'],['widget']
20,Can I save my settings?,Learn,['settings'],['option']
21,Can I save my view?,Learn,['view'],['attribute']
22,What can I do in this page?,information_seek,['view'],['attribute']
23,What are the different types of SIMs?,information_seek,['sim'],['inventory']
24,Tell me about filters,information_seek,['filter'],['widget']
25,Tell me about counters,information_seek,['counters'],['widget.']
26,Tell me about table,information_seek,['view'],['attribute']
27,Tell me about each action,information_seek,['action'],['widget']
28,What is IMSI,information_seek,['imsi'],['identifier']
29,What is MSISDN,information_seek,['msisdn'],['identifier']
30,What is IMEI,information_seek,['imei'],['identifier']
31,What is ICCID,information_seek,['iccid'],['identifier']
32,Why portal slow,Troubleshoot,['portal'],['page']
33,Order sim,Learn,['sim'],['inventory']
34,state change where??,Learn,['state'],['option']
35,logout,Learn,['portal'],['page']
36,what is announcements,information_seek,['announcement'],['page']
37,euicc order,Learn,['euicc'],['inventory']
38,why error messages,Troubleshoot,['portal'],['page']
39,how to select more than 10000 imsi,Learn,['imsi'],['identifier']
40,How can I apply a filter?,Learn,['filter'],['widget']
41,How can I add/create a filter?,Learn,['filter'],['widget']
42,How can I add/apply/create filters?,Learn,['filter'],['widget']
43,How to add/apply/create a filter?,Learn,['filter'],['widget']
44,How to add/apply/create filters?,Learn,['filter'],['widget']
45,I want to add/apply/create a filter,Learn,['filter'],['widget']
46,I want to add/apply/create filters,Learn,['filter'],['widget']
47,What is connectivity lock?,information_seek,['connectivity lock'],['connection']
48,What is this lock/padlock?,information_seek,['connectivity lock'],['connection']
49,There is a lock/padlock in Connectivity lock column,information_seek,['connectivity lock'],['connection']
50,"I see a lock, why?",information_seek,['connectivity lock'],['connection']
51,How much would it cost to order SIM?,information_seek,"['sim', 'cost']","['inventory', 'None']"
